國家風景區旅遊路線名稱,行程介紹,路線內容,無障礙設施據點,無障礙設備借用,無障礙廁所,無障礙停車格
日月潭旅遊線二日遊,日月潭纜車站：體驗懸掛湖面上的微笑曲線，一覽日月潭湖光山色（來回約20分鐘）。全站符合無障礙設施標準，每輛車箱建議搭乘1部輪椅；日月潭端場站附有餐飲設施，可悠閒品茶賞湖，亦可漫步於場站外連接的伊達邵親水步道。去程可於水社遊客中心搭乘日月潭電動遊湖巴士（均為無障礙）至日月潭纜車站，或於水社碼頭搭乘遊艇至伊達邵碼頭（無障礙遊艇須事先預約），再沿伊達邵親水步道步行至日月潭纜車站（部份路段有險降坡，建議需有同行人或為使用電動輪椅）,第二天：日月潭纜車站,日月潭纜車站,0,4,10
北海岸旅遊線一日遊,"三芝淺水灣（南側濱海步道）：沿著淡金公路由淡水進入三芝不久後，約16公里處即可到達淺水灣。寬闊平直的沙灘，碧海藍天的自然景致，成為北海岸夏日重要消暑的休閒勝地。
海灘旁的南側濱海步道及停車場等均規劃十分完善，除了可在此觀景、聽濤與欣賞落日餘暉的美景之外，還可沿著步道至沙灘戲水，洗淨一身的憂愁與煩惱，讓大小朋友都玩得盡興、開心。
如果想要感受海風吹拂的恣意，也可騎著小摺來淺水灣自行車木棧道體驗風吹草舞的自然韻律，讓人心曠神怡；道路兩旁也聚集有許多羅曼蒂克且各具特色的咖啡店，搭配著優雅的外觀建築，濃濃的異國風情，彷彿讓人有置身於外國的錯覺，浪漫指數百分百喔。",三芝淺水灣（南側濱海步道）-三芝遊客中心-白沙灣遊客中心-北海岸遊憩探索館,三芝淺水灣（南側濱海步道）,0,1,汽車位2個、機車位3個
馬祖旅遊線一日遊,南竿遊客中心：1樓提供簡報影片觀賞、觀光諮詢、摺頁索取、特產店等服務，2樓設有精品店及餐飲店(無障礙餐廳)，是旅客來南竿時，一定會利用的休息點。,南竿遊客中心-雲台山軍情館-媽祖宗教文化園區-民俗文物館-津仁木棧道部分步道-津沙聚落-馬祖酒廠,南竿遊客中心,提供輪椅、手杖各1免費租借?,0,汽車位2個?
馬祖旅遊線二日遊,馬祖酒廠：酒廠以導覽影片、釀酒文物展示其歷年出產之紀念酒及珍稀酒類，因馬祖列島地理區位係屬於南方的福建閩東，與客家人之北方釀酒文化有著微妙的亦同之處，現場並提供品酒服務。,第一天：馬祖酒廠-北竿遊客中心-芹壁聚落-塘后道沙灘,馬祖酒廠,0,0,有充足的停車空間?
馬祖旅遊線二日遊,戰爭和平紀念公園主題館：民國98年3月全新開幕的戰爭和平主題館，位於大澳山絕佳地理位置，主題館上方觀景平台可以至高鳥瞰北竿島嶼北面的絕佳天然景觀。館內呈列我們國軍以往使用過的武器與軍備，馬祖島的歷史戰地風光也彷彿身入其境的感覺。,第二天：戰爭和平紀念公園主題館-壁山觀景台-橋仔漁村展示館,戰爭和平紀念公園主題館,0,0,有充足的停車空間?
阿里山旅遊線一日遊,,嘉義高鐵太保站-觸口遊客中心-牛仔埔遊憩園區-隙頂茶街-梅園樓-頂湖自然生態園區-觸口龍隱寺,嘉義高鐵太保站,輪椅x7?,4,汽車位15個、機車位17個
茂林-宗教慢活一日遊,美綠園生態園區：於高雄市美濃區獅山里的美綠生態園，廣植原生樹種及誘蝶誘鳥植物等，並養殖數種蝴蝶供遊客欣賞。除了賞蝶，佔地約 3 公頃的生態園設有會議室、DIY教學活動、露營區及蝴蝶園、藥草植物園、香草植物園、水生植物園等生態導覽區，另園區餐廳提供無障礙遊客用餐之環境，園區「悠閒、慢活」的環境讓你體驗輕鬆自在沒有壓力的休閒時光。,美綠園生態園區-神威天臺山天臺聖宮-寶來遊客中心,美綠園生態園區,輪椅：1台、無障礙充電處：1處?,3,汽車位1個
鄉村西拉雅二日遊,烏山頭水庫/八田與一紀念園區：烏山頭水庫集水區猶如珊瑚，故有珊瑚潭之稱，是嘉南大圳主要水脈。園區內原汁原味呈現日治時期八田技師居住的房子，吸引許多日本遊客前往。,第一天：烏山頭水庫/八田與一紀念館-南元花園休閒農場-嶺頂公園/嶺頂資訊站,烏山頭水庫/八田與一紀念園區,輪椅租借1臺，免費，園區內不限時間?,2,汽車位3個
鄉村西拉雅二日遊,水火同源：名列臺灣七景之一，崖壁間同時有天然氣和泉水湧出，形成水與火共生的奧妙景觀。輪椅族可近距離與水火同源拍照留影。無障礙廁所位於購物街的對街下坡處，建議由陪伴者陪同前往。,第二天：水火同源-碧雲寺-寶泉露頭公園,水火同源,0,1,汽車位2個
澎湖本島一日遊,澎湖遊客中心：提供澎湖觀光資源展示解說、旅遊諮詢等服務。,澎湖遊客中心-澎坊免稅店-北海遊客中心-通梁古道-跨海大橋-二崁傳統聚落,澎湖遊客中心,2,1,汽車位1個、機車位1個
花東縱谷鯉魚潭無障礙一日遊,"鯉魚潭風景特定區：鯉魚潭位於壽豐鄉池南村鯉魚山腳下，距花蓮市僅18公里，是是花蓮縣內最大的內陸湖泊，因東傍鯉魚山而被命名為鯉魚潭。 
由於周邊遊憩資源豐富，為一處具可輕舟悠遊、單車環潭或漫步水岸的多元化遊憩活動據點。潭北設有遊客中心，遊客可由此取得最詳細的各項旅遊資訊；潭西的水岸休憩區裡設有各項親水活動與休憩設施，適合全家老少小歇賞景；長約5公里的環潭自行車專用道，讓鐵馬騎士們以車代步，享受怡人的湖光山色；標高601公尺的鯉魚山上更有數條森林步道，是享受森林浴、賞鳥賞花賞景的最佳健行路線。
隔著公路與鯉魚潭相對的路邊，是提供遊客民生問題的餐廳與商店，當地特色小吃芋頭、地瓜酥、蝦餅等，都是來自在地產品，已成為當地非常受歡迎的特色小吃之一。",鯉魚潭風景特定區,鯉魚潭風景特定區,一般輪椅2式，電動輪椅1式，手杖1枝，輪椅可至遊客中心借用，手杖需至行政辦公室借用，僅需登記個人資料，無需租借費用。,10,7
雲嘉南旅遊線一日遊,北門遊客中心：由北門洗滌鹽工廠舊建物群中的西南側倉庫群所改建，外觀仍保留著原工廠山牆斜屋頂造型。全館整合轄區內「鹽業歷史」、「濕地生態」、「宗教人文」、「地方產業」與「文學藝術」等觀光資源，規劃主題區介紹與多媒體互動區。館內除了有簡報室可欣賞觀光資源影片，以及各項多媒體展區與遊客互動外，主要有二大展示特色： 素人畫家－洪通的藝術展牆： 無師自通的北門素人畫家洪通先生，有「東方畢卡索」之稱。其作品畫面流露出靈性與強烈的精神力量、筆觸細膩、紋理形式繁瑣，神秘的文字畫與用色豐富的畫風，至今仍為人所稱道。海翁返北門－抹香鯨標本區： 2005年12月29日發現了這位擱淺於王爺港汕上的巨大訪客，由於過於龐大而先行掩埋。2008年2月，在台南縣政府、國立台灣博物館及專業團隊與北門鄉親支持下，抹香鯨破土重出，標本製作完成後並於國立台灣博物館展出，2009年移展至蕭?文化園區，並於當年12月4日運回北門遊客中心。,北門遊客中心-井仔腳瓦盤鹽田-台灣鹽博物館,北門遊客中心,輪椅2台，兒童推車1台，輔助手杖1只，解說服務可上雲嘉南管理處官網預約?,2,4
